model_name,brand,processor_name,ram_gb,ssd_gb,hard_disk_gb,operating_system,graphics,cores,threads,spec_score,width,height,performance_score,price_category,price
HP 15s-fq5007TU Laptop,9,15,8,512,0,4,140,6,8,60,1920,1080,129.60000000000002,Mid-Range,46790
HP 15s-fq5111TU Laptop,9,16,8,512,0,4,132,10,12,61,1920,1080,130.0,Mid-Range,58530
Dell Inspiron 3520 D560871WIN9B Laptop,6,16,8,512,0,4,140,10,12,55,1920,1080,127.6,Mid-Range,57223
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,3,39,8,512,0,4,38,6,12,69,1920,1080,133.20000000000002,Mid-Range,49990
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,3,39,8,512,0,4,38,6,12,69,1920,1080,133.20000000000002,Mid-Range,54990
HP 15s-er1501AU Laptop,9,34,8,256,0,4,91,2,4,57,1920,1080,77.2,Budget,28490
HP Victus 15-fb0040AX Gaming Laptop,9,41,8,512,0,4,38,6,12,72,1920,1080,134.4,Mid-Range,59800
Realme Book Slim Laptop,18,11,8,512,0,4,134,4,8,61,1440,2160,130.0,Mid-Range,49990
Realme Book Slim Laptop,18,11,8,512,0,4,134,4,8,61,1440,2160,130.0,Mid-Range,39990
Realme Book Slim Laptop,18,11,8,512,0,4,134,4,8,61,1440,2160,130.0,Mid-Range,46990
Asus Vivobook 16X 2022 M1603QA-MB511WS Laptop,3,105,16,512,0,4,103,6,12,67,1920,1200,135.60000000000002,Mid-Range,53990
Apple MacBook Air 2022 Laptop,2,67,8,256,0,2,77,8,0,48,2560,1664,73.60000000000001,Premium,107990
Apple MacBook Air 2022 Laptop,2,67,8,256,0,2,77,8,0,48,2560,1664,73.60000000000001,Premium,137990
Apple MacBook Air 2022 Laptop,2,67,8,256,0,2,77,8,0,48,2560,1664,73.60000000000001,Premium,137900
Asus VivoBook 14 X415JA-BV301WS Laptop,3,7,8,0,1000,4,140,2,4,51,1920,1080,23.6,Budget,29890
HP 15s-fq2717TU Laptop,9,10,8,512,0,4,123,2,4,56,1920,1080,128.0,Mid-Range,41900
HP 15s-fq2717TU Laptop,9,10,8,512,0,4,123,2,4,56,1920,1080,128.0,Mid-Range,41990
Lenovo V15 ‎82C70005UK Laptop,14,40,8,512,0,4,96,6,12,60,1920,1080,129.60000000000002,Mid-Range,38480
Lenovo V15 ‎82C70005UK Laptop,14,40,8,512,0,4,96,6,12,60,1920,1080,129.60000000000002,Mid-Range,38490
Lenovo V15 82KDA00XIH Laptop,14,40,8,512,0,4,96,6,12,55,1920,1080,127.6,Mid-Range,38489
Lenovo E41-55 82FJ00AGIH Laptop,14,70,4,256,0,4,98,2,4,41,1920,1080,69.2,Budget,18990
Asus VivoBook 15 X1500EA-EJ322WS Laptop,3,10,8,512,0,4,140,2,4,41,1920,1080,122.0,Mid-Range,35978
Asus VivoBook 15 X1500EA-EJ322WS Laptop,3,10,8,512,0,4,140,2,4,41,1920,1080,122.0,Mid-Range,35325
HP Victus 15-fa0165TX Laptop,9,16,8,512,0,4,38,8,12,73,1920,1080,134.8,High-End,69990
HP 15s-FR2511TU Laptop,9,10,8,512,0,4,140,2,4,60,1920,1080,129.60000000000002,Mid-Range,40880
Asus TUF Gaming A17 FA706IHRB-HX041W Gaming Laptop,3,39,8,512,0,4,38,6,12,67,1920,1080,132.4,Mid-Range,52990
HP Pavilion 15-eg2009TU Laptop,9,16,8,512,0,4,132,12,16,62,1920,1080,130.4,High-End,62990
HP 15s- eq2212AU Laptop,9,35,8,512,0,4,96,4,8,59,1920,1080,129.20000000000002,Mid-Range,37990
Dell Inspiron 3520 Laptop,6,16,8,256,1000,4,134,10,12,53,1920,1080,75.60000000000001,Mid-Range,44087
Dell Inspiron 3520 Laptop,6,16,8,256,1000,4,134,10,12,53,1920,1080,75.60000000000001,Mid-Range,57990
Dell Inspiron 3520 Laptop,6,16,8,256,1000,4,134,10,12,53,1920,1080,75.60000000000001,Mid-Range,62029
Dell Inspiron 3520 Laptop,6,16,8,256,1000,4,134,10,12,53,1920,1080,75.60000000000001,Mid-Range,66111
HP 245 G8 62G68PA Laptop,9,33,8,0,1000,4,96,2,4,59,1920,1080,26.8,Budget,27890
Acer One 14 Z2-493 Laptop,1,34,4,256,0,4,100,2,4,50,1366,768,72.80000000000001,Budget,20990
Acer One 14 Z2-493 Laptop,1,34,4,256,0,4,100,2,4,50,1366,768,72.80000000000001,Budget,25990
Acer Aspire 7 A715-51G NH.QGCSI.001 Gaming Laptop,1,16,8,512,0,4,46,12,16,74,1920,1080,135.20000000000002,High-End,64990
Dell Inspiron 5320 Laptop,6,18,16,512,0,4,123,12,16,65,1920,1080,134.8,High-End,84918
Dell Inspiron 5320 Laptop,6,18,16,512,0,4,123,12,16,65,1920,1080,134.8,High-End,76490
MSI Bravo 15 B5DD-410IN Gaming Laptop,15,99,8,512,0,4,31,6,12,68,1920,1080,132.8,Mid-Range,47990
MSI Bravo 15 B5DD-410IN Gaming Laptop,15,99,8,512,0,4,31,6,12,68,1920,1080,132.8,Mid-Range,48890
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,14,40,16,512,0,4,91,6,12,74,1920,1200,138.4,High-End,61100
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,14,40,16,512,0,4,91,6,12,74,1920,1200,138.4,High-End,61590
HP Victus 15-fa0070TX Laptop,9,16,8,512,0,4,38,8,12,71,1920,1080,134.0,High-End,67990
Lenovo IdeaPad Slim 1 82R10049IN Laptop,14,34,8,512,0,4,96,2,4,60,1920,1080,129.60000000000002,Mid-Range,34300
Asus Vivobook S15 OLED K3502ZA-L501WS Laptop,3,16,16,512,0,4,131,12,16,65,1920,1080,134.8,High-End,73000
Lenovo IdeaPad D330 82H0001YIN Laptop,14,73,4,0,128,4,141,4,2,49,1200,800,21.200000000000003,Budget,22999
Infinix INBook X1 XL11 Laptop,12,7,8,256,0,4,123,2,4,44,1920,1080,72.0,Mid-Range,37999
Infinix INBook X1 XL11 Laptop,12,7,8,256,0,4,123,2,4,44,1920,1080,72.0,Mid-Range,37490
Realme Book Slim Laptop,18,11,8,512,0,4,134,4,8,61,1440,2160,130.0,Mid-Range,49990
Realme Book Slim Laptop,18,11,8,512,0,4,134,4,8,61,1440,2160,130.0,Mid-Range,39990
Realme Book Slim Laptop,18,11,8,512,0,4,134,4,8,61,1440,2160,130.0,Mid-Range,46990
Infinix Zero Book Series ZL12 Laptop,12,18,16,512,0,4,121,14,20,63,1920,1080,134.0,High-End,64990
Asus VivoBook 15 X1500EA-EJ701W Laptop,3,12,16,512,0,4,134,4,8,63,1920,1080,134.0,Mid-Range,56799
Lenovo IdeaPad Gaming 3 82K201YAIN Laptop,14,41,8,512,0,4,38,6,12,69,1920,1080,133.20000000000002,Mid-Range,55990
Asus Vivobook Pro 14 OLED M3400QA-KM502WS Gaming Laptop,3,99,8,512,0,4,96,6,12,69,2880,1800,133.20000000000002,Mid-Range,53000
HP Pavilion x360 14-ek0074TU Laptop,9,16,16,512,0,4,121,10,12,68,1920,1080,136.0,High-End,73490
Lenovo IdeaPad Gaming 3 82K201UEIN Laptop,14,47,8,512,0,4,38,6,12,69,1920,1080,133.20000000000002,Mid-Range,58490
Asus Vivobook Pro 15 OLED M6500IH-HN701WS Laptop,3,115,16,512,0,4,40,8,16,69,1920,1080,136.4,Mid-Range,58990
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,3,39,8,512,0,4,38,6,12,69,1920,1080,133.20000000000002,Mid-Range,49990
Asus TUF Gaming A15 FA506IHRZ-HN111W Laptop,3,39,8,512,0,4,38,6,12,69,1920,1080,133.20000000000002,Mid-Range,54990
HP Victus 15-fb0050AX Gaming Laptop,9,41,8,512,0,4,46,6,12,72,1920,1080,134.4,High-End,67600
Lenovo IdeaPad Slim 5 82SF008YIN Laptop,14,16,16,512,0,4,134,10,12,66,1920,1080,135.20000000000002,High-End,72490
Acer Aspire 5 A515-57G UN.K9TSI.002 Gaming Laptop,1,16,16,512,0,4,45,12,16,69,1920,1080,136.4,High-End,62990
Asus VivoBook 15 X1500EA-EJ322WS Laptop,3,10,8,512,0,4,140,2,4,41,1920,1080,122.0,Mid-Range,35978
Asus VivoBook 15 X1500EA-EJ322WS Laptop,3,10,8,512,0,4,140,2,4,41,1920,1080,122.0,Mid-Range,35325
HP 14s-dy5005TU Laptop,9,16,16,512,0,4,117,10,12,57,1920,1080,131.60000000000002,High-End,63990
Asus Vivobook 15 2022 X1502ZA-EJ312WS Laptop,3,15,8,512,0,4,132,10,12,54,1920,1080,127.20000000000002,Mid-Range,42300
Lenovo IdeaPad Slim 3 82RK0062IN Laptop,14,16,8,512,0,4,154,10,12,55,1920,1080,127.6,Mid-Range,58490
MSI Thin GF63 11SC-852IN Gaming Laptop,15,12,8,512,0,4,39,8,16,73,1920,1080,134.8,High-End,64000
Asus Zenbook 17 Fold UX9702AA-MD023WS Laptop,3,18,16,1000,0,4,134,10,12,80,2560,1920,238.4,Premium,329990
Nokia PureBook S14 NKi511TL165S Laptop,17,11,16,512,0,4,121,4,8,62,1920,1080,133.60000000000002,Mid-Range,40990
Dell Latitude 3420 Laptop,6,11,8,512,0,4,140,4,8,56,1366,768,128.0,High-End,73740
Dell Latitude 3420 Laptop,6,11,8,512,0,4,140,4,8,56,1366,768,128.0,High-End,76900
Dell Latitude 3420 Laptop,6,11,8,512,0,4,140,4,8,56,1366,768,128.0,High-End,69500
Dell Latitude 3420 Laptop,6,11,8,512,0,4,140,4,8,56,1366,768,128.0,High-End,75800
Dell Latitude 3420 Laptop,6,11,8,512,0,4,140,4,8,56,1366,768,128.0,High-End,34800
Dell Latitude 3420 Laptop,6,11,8,512,0,4,140,4,8,56,1366,768,128.0,High-End,41500
Dell Latitude 3420 Laptop,6,11,8,512,0,4,140,4,8,56,1366,768,128.0,High-End,42000
Acer Aspire 3 A315-24 Laptop,1,104,8,512,0,4,97,4,8,56,1920,1080,128.0,Mid-Range,52490
HP 14s-dq2649TU Laptop,9,10,8,512,0,4,123,2,4,57,1920,1080,128.4,Mid-Range,45500
Samsung Galaxy Book2 NP550XED-KA1IN 15 Laptop,19,16,8,512,0,4,123,10,12,60,1920,1080,129.60000000000002,High-End,67990
Samsung Galaxy Book 3 Pro NP960XFG-KC1IN Laptop,19,22,16,512,0,4,154,12,16,73,2880,1800,138.0,Premium,149990
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC4IN Laptop,19,22,16,512,0,4,154,12,16,72,2880,1800,137.60000000000002,Premium,139990
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC5IN Laptop,19,22,16,1000,0,4,154,12,16,74,2880,1800,236.0,Premium,155990
Samsung Galaxy Book 3 Pro 14 NP940XFG-KC1IN Laptop,19,21,16,512,0,4,154,12,16,71,2880,1800,137.20000000000002,Premium,131990
Samsung Galaxy Book 3 360 15 NP750QFG-KA2IN Laptop,19,21,16,512,0,4,134,12,16,71,1920,1080,137.20000000000002,Premium,114990
Lenovo V15 ‎82C70005UK Laptop,14,40,8,512,0,4,96,6,12,60,1920,1080,129.60000000000002,Mid-Range,38480
Lenovo V15 ‎82C70005UK Laptop,14,40,8,512,0,4,96,6,12,60,1920,1080,129.60000000000002,Mid-Range,38490
Samsung Galaxy Book 3 360 13 NP730QFG-KA1IN Laptop,19,21,16,512,0,4,134,10,12,67,1920,1080,135.60000000000002,Premium,109990
Samsung Galaxy Book 3 360 13 NP730QFG-KA3IN Laptop,19,22,16,1000,0,4,134,10,12,69,1920,1080,234.0,Premium,133990
Samsung Galaxy Book 3 360 13 NP730QFG-KA2IN Laptop,19,22,16,512,0,4,134,10,12,67,1920,1080,135.60000000000002,Premium,117990
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA2IN Laptop,19,21,16,512,0,4,134,12,16,75,2880,1800,138.8,Premium,155990
Samsung Galaxy Book 3 Pro NP960XFG-KC2IN Laptop,19,22,16,1000,0,4,154,12,16,74,2880,1800,236.0,Premium,165990
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA1IN Laptop,19,22,16,512,0,4,134,12,16,81,2880,1800,141.20000000000002,Premium,163990
Samsung Galaxy Book 3 360 NP750QFG-KA1IN Laptop,19,22,16,512,0,4,134,12,16,73,1920,1080,138.0,Premium,122990
Samsung Galaxy Book 3 Pro 360 NP960QFG-KA3IN Laptop,19,22,16,1000,0,4,134,12,16,82,2880,1800,239.2,Premium,179990
Lenovo IdeaPad Gaming 3 82K1017WIN Laptop,14,11,8,512,0,4,38,4,8,71,1920,1080,134.0,Mid-Range,52900
Acer One 14 Z2-493 Laptop,1,34,8,256,0,4,96,2,4,53,1366,768,75.60000000000001,Budget,20990
Acer One 14 Z2-493 Laptop,1,34,8,256,0,4,96,2,4,53,1366,768,75.60000000000001,Budget,25990
Dell Inspiron 3525 D560789WIN9S Laptop,6,49,8,512,0,4,100,6,12,68,1920,1080,132.8,Mid-Range,49441
Acer Aspire 3 A315-59 Laptop,1,15,8,512,0,4,134,6,8,54,1920,1080,127.20000000000002,Mid-Range,39990
Acer Aspire 3 A315-59 Laptop,1,15,8,512,0,4,134,6,8,54,1920,1080,127.20000000000002,Mid-Range,56699
Lenovo IdeaPad Gaming 3 82K201Y9IN Laptop,14,47,8,256,1000,4,38,6,12,73,1920,1080,83.60000000000001,Mid-Range,56990
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,14,40,16,512,0,4,91,6,12,74,1920,1200,138.4,High-End,61100
Lenovo IdeaPad Flex 5 82R9008GIN Laptop,14,40,16,512,0,4,91,6,12,74,1920,1200,138.4,High-End,61590
HP Pavilion 15s-eq2182AU Laptop,9,98,16,512,0,4,96,6,12,63,1920,1080,134.0,Mid-Range,49123
HP Victus 15-fa0350TX Laptop,9,16,8,512,0,4,46,8,12,75,1920,1080,135.60000000000002,High-End,77990
Asus TUF Gaming A15 2022 FA577RE-HN055WS Gaming Laptop,3,55,16,512,0,4,49,8,16,80,1920,1080,140.8,High-End,96085
HP Victus 16-e0352AX Gaming Laptop,9,105,8,512,0,4,46,6,12,72,1920,1080,134.4,High-End,63990
Asus TUF Gaming F15 FX506LHB-HN355WS Gaming Laptop,3,8,8,512,0,4,38,4,8,63,1920,1080,130.8,Mid-Range,54990
HP Pavilion 15-eg2002TU Laptop,9,16,16,512,0,4,136,12,16,65,1920,1080,134.8,High-End,69990
Samsung Galaxy Book2 Pro 360 15 Laptop,19,18,16,512,0,4,134,8,16,74,1080,1920,138.4,Premium,129990
Dell Vostro 3510 Laptop,6,10,8,256,1000,4,140,2,4,56,1920,1080,76.80000000000001,Mid-Range,37990
Dell Vostro 3510 Laptop,6,10,8,256,1000,4,140,2,4,56,1920,1080,76.80000000000001,Mid-Range,54490
Asus VivoBook K15 OLED KM513UA-L503WS Laptop,3,98,8,256,1000,4,93,6,12,65,1920,1080,80.4,Mid-Range,47990
HP 14s-fq1092au Laptop,9,98,8,512,0,4,93,6,12,65,1920,1080,131.60000000000002,Mid-Range,46058
Microsoft Surface Laptop Go 1943 THJ-00023 Laptop,16,8,8,256,0,4,123,4,8,55,1536,1024,76.4,High-End,67000
HP 245 G8 689T3PA Laptop,9,34,8,512,0,4,96,2,4,59,1366,768,129.20000000000002,Budget,27989
Lenovo IdeaPad 3i ‎82RJ005BUS Laptop,14,16,8,256,0,4,145,10,12,62,1920,1080,79.2,Mid-Range,49990
Apple MacBook Pro 16 inch Laptop,2,84,32,1000,0,2,29,12,0,66,3456,2234,239.2,Premium,349900
Apple MacBook Pro 16 inch Laptop,2,84,32,1000,0,2,29,12,0,66,3456,2234,239.2,Premium,269900
Apple MacBook Pro 16 inch Laptop,2,84,32,1000,0,2,29,12,0,66,3456,2234,239.2,Premium,249900
Samsung Galaxy Book 2 NP550XED-KA3IN Laptop,19,18,16,512,0,4,123,10,12,63,1920,1080,134.0,High-End,72990
Asus VivoBook 15 K513EP-BQ1093T Laptop,3,11,8,512,0,4,15,4,8,54,1920,1080,127.20000000000002,Mid-Range,45990
Lenovo IdeaPad Gaming 3 15IHU6 82K101GSIN Laptop,14,11,8,512,0,4,38,4,8,72,1920,1080,134.4,Mid-Range,54990
Asus VivoBook 14 X415EA-EK701WS Laptop,3,12,16,512,0,4,123,4,8,69,1920,1080,136.4,Mid-Range,56990
Asus VivoBook 14 2022 X1402ZA-EK312WS Laptop,3,15,8,512,0,4,122,10,12,61,1920,1080,130.0,Mid-Range,40990
HP 247 G8 600A9PA Laptop,9,35,8,512,0,4,96,4,8,61,1366,768,130.0,Mid-Range,32999
Asus Vivobook Pro 16 OLED K6602HC-N1902WS Gaming Laptop,3,13,16,512,0,4,46,8,16,75,1200,1920,138.8,High-End,87990
Acer Swift 3 OLED SF314-71 NX.KAVSI.001 Laptop,1,18,16,1000,0,4,121,14,20,69,2880,1800,234.0,Premium,115999
Dell Latitude 3430 Laptop,6,16,8,512,0,4,134,10,12,59,1366,768,129.20000000000002,Premium,108000
HP Pavilion 15-eg2018TX Laptop,9,16,16,512,0,4,18,10,12,56,1920,1080,131.20000000000002,High-End,75070
Microsoft Surface Pro 9 QEZ-00065 Laptop,16,16,8,256,0,4,134,10,12,51,2880,1920,74.80000000000001,High-End,99999
HP 247 G8 ‎6B5R3PA Laptop,9,35,8,512,0,1,96,4,8,56,1366,768,128.0,Mid-Range,30020
HP Omen 16-n0079AX Gaming Laptop,9,55,16,512,0,4,79,8,16,81,1920,1080,141.20000000000002,Premium,108290
Asus VivoBook 14 2022 X1402ZA-MW511WS Laptop,3,16,16,512,0,4,121,12,16,74,1920,1080,138.4,High-End,66990
HP 14s-dr3001TU Laptop,9,91,8,256,0,4,140,4,4,51,1366,768,74.80000000000001,Mid-Range,30990
Asus VivoBook 14 X415JA-EK522WS Laptop,3,8,8,512,0,4,138,4,8,60,1920,1080,129.60000000000002,Mid-Range,41990
Asus Chromebook Flip C214MA-BU0704 Laptop,3,73,4,0,32,0,124,2,2,0,1366,768,1.6,Budget,15990
Lenovo IdeaPad Gaming 3 15IAH7 82S900R6IN Laptop,14,16,16,512,0,4,46,8,12,75,1920,1080,138.8,High-End,80990
Acer Predator Helios 300 PH315-55 Gaming Laptop,1,20,16,1000,0,4,69,14,20,76,2560,1440,236.8,Premium,158990
Acer Extensa 15 EX215-54 Laptop,1,10,8,512,0,4,123,2,4,50,1920,1080,125.6,Mid-Range,33990
Asus ProArt StudioBook Pro 16 OLED H7600ZM-L701WS Laptop,3,18,16,1000,0,4,69,14,20,88,3840,2400,241.6,Premium,198490
Asus VivoBook 15 X515JA-EJ382WS Laptop,3,7,8,512,0,4,123,2,4,55,1920,1080,127.6,Mid-Range,33575
MSI Bravo 15 B5DD-410IN Gaming Laptop,15,99,8,512,0,4,31,6,12,68,1920,1080,132.8,Mid-Range,47990
MSI Bravo 15 B5DD-410IN Gaming Laptop,15,99,8,512,0,4,31,6,12,68,1920,1080,132.8,Mid-Range,48890
Infinix INBook X1 Neo Laptop,12,3,4,128,0,4,123,4,0,47,1920,1080,46.0,Budget,22990
Asus TUF Dash F15 2022 FX517ZC-HN108WS Gaming Laptop,3,18,16,1000,0,4,46,10,16,76,1920,1080,236.8,High-End,95990
Asus VivoBook 15 X515EA-EJ522WS Laptop,3,11,8,512,0,4,121,4,8,61,1920,1080,130.0,Mid-Range,46990
Asus Vivobook 15 2022 X1502ZA-EZ311WS Touch Laptop,3,15,8,512,0,4,132,10,12,59,1920,1080,129.20000000000002,Mid-Range,43879
HP 14s-dy2507TU Laptop,9,10,8,256,0,4,126,2,4,55,1920,1080,76.4,Mid-Range,35490
HP Pavilion 15s-fq5112TU Laptop,9,16,16,512,0,4,134,10,12,55,1920,1080,130.8,High-End,62490
Asus TUF Gaming F15,3,23,16,512,0,4,50,14,20,79,1920,1080,140.4,High-End,94990
Asus ROG Strix G17 2022 G713IE-HX040W Gaming Laptop,3,50,16,1000,0,4,49,8,16,75,1920,1080,236.4,High-End,87990
Infinix INBook X1 Neo XL22 Laptop,12,3,8,256,0,4,123,4,0,50,1920,1080,74.4,Budget,29990
Asus TUF Dash F15 2022 FX517ZC-HN083WS Gaming Laptop,3,16,16,512,0,4,46,8,12,67,1080,1920,135.60000000000002,High-End,77990
Acer Nitro 5 AN515-56 Gaming Laptop,1,11,16,512,0,4,38,6,12,73,1920,1080,138.0,High-End,62990
Acer Aspire 5 A515-57G Gaming Laptop,1,16,8,512,0,4,45,12,16,67,1920,1080,132.4,Mid-Range,59999
Lenovo IdeaPad Slim 1 82R1004AIN Laptop,14,37,8,512,0,4,96,4,8,61,1920,1080,130.0,Mid-Range,40026
Acer Aspire 7 A715-75G NH.QGBSI.001 Gaming Laptop,1,16,8,512,0,4,38,12,16,69,1920,1080,133.20000000000002,Mid-Range,57990
Lenovo IdeaPad Gaming 3 82K201ULIN Laptop,14,99,16,512,0,4,46,6,12,75,1920,1080,138.8,High-End,71990
Asus TUF Dash F15 2022 FX517ZC-HN035WS Gaming Laptop,3,16,8,512,0,4,46,8,12,72,1920,1080,134.4,High-End,75990
Asus Vivobook Pro 14 OLED M3400QA-KM512WS Gaming Laptop,3,99,16,512,0,4,96,6,12,72,2880,1800,137.60000000000002,Mid-Range,59990
HP Pavilion 15-eg2039TU Laptop,9,18,16,1000,0,4,121,12,16,66,1920,1080,232.8,High-End,85990
HP Pavilion 14-dv2041TU Laptop,9,16,16,512,0,4,134,10,12,62,1920,1080,133.60000000000002,High-End,71990
MSI Gaming Crosshair 15 B12UEZ-677IN Laptop,15,18,16,1000,0,4,69,14,20,84,2560,1440,240.0,Premium,111000
Apple MacBook Pro 2022 Laptop,2,67,8,512,0,2,0,8,0,45,2560,1600,123.6,Premium,139990
Apple MacBook Pro 2022 Laptop,2,67,8,512,0,2,0,8,0,45,2560,1600,123.6,Premium,149000
Apple MacBook Pro 2022 Laptop,2,67,8,512,0,2,0,8,0,45,2560,1600,123.6,Premium,121990
HP Pavilion 14-dv2015TU Laptop,9,18,16,1000,0,4,134,10,12,65,1920,1080,232.4,High-End,84990
Asus Vivobook 15 2022 X1502ZA-BQ502WS Laptop,3,16,8,512,0,4,121,12,16,63,1920,1080,130.8,Mid-Range,56825
Dell G15-5511 Gaming Laptop,6,11,16,512,0,4,46,6,12,69,1920,1080,136.4,High-End,68102
Dell G15-5511 Gaming Laptop,6,11,16,512,0,4,46,6,12,69,1920,1080,136.4,High-End,65990
Dell G15-5520 Laptop,6,18,16,512,0,4,49,14,20,75,1920,1080,138.8,Premium,108400
Dell G15-5520 Laptop,6,18,16,512,0,4,49,14,20,75,1920,1080,138.8,Premium,84990
Acer Aspire 3 A315-58 Laptop,1,11,8,512,0,4,132,4,8,53,1920,1080,126.8,Mid-Range,43490
Acer Aspire 3 A315-58 Laptop,1,11,8,512,0,4,132,4,8,53,1920,1080,126.8,Mid-Range,49312
Acer Aspire 3 A315-58 Laptop,1,11,8,512,0,4,132,4,8,53,1920,1080,126.8,Mid-Range,53990
Acer Aspire 3 A315-58 Laptop,1,11,8,512,0,4,132,4,8,53,1920,1080,126.8,Mid-Range,32800
Acer Aspire 3 A315-58 Laptop,1,11,8,512,0,4,132,4,8,53,1920,1080,126.8,Mid-Range,62999
HP Pavilion 15-EC2048AX Gaming Laptop,9,99,8,512,0,4,51,6,12,72,1920,1080,134.4,High-End,69028
Dell Inspiron 3525 Laptop,6,72,8,256,0,4,96,2,2,48,1920,1080,73.60000000000001,Mid-Range,33000
Dell Inspiron 3525 Laptop,6,72,8,256,0,4,96,2,2,48,1920,1080,73.60000000000001,Mid-Range,40663
Dell Inspiron 3525 Laptop,6,72,8,256,0,4,96,2,2,48,1920,1080,73.60000000000001,Mid-Range,47990
Dell Inspiron 3525 Laptop,6,72,8,256,0,4,96,2,2,48,1920,1080,73.60000000000001,Mid-Range,58750
Avita Satus Ultimus S111 Laptop,4,73,4,128,0,4,126,2,2,47,1920,1080,46.0,Budget,16990
Samsung Galaxy Book Go Laptop,19,120,4,0,128,4,150,0,0,0,1920,1080,1.6,Mid-Range,32990
Asus Vivobook 13 Slate OLED T3300KA-LQ122WS Laptop,3,91,4,0,128,4,140,4,4,51,1920,1080,22.000000000000004,Budget,29990
Asus VivoBook 15 X515EA-EJ322WS Laptop,3,10,8,512,0,4,140,2,4,50,1920,1080,125.6,Mid-Range,35990
Lenovo Ideapad 15ALC6 82KU017KIN Laptop,14,98,8,512,0,4,91,6,12,59,1920,1080,129.20000000000002,Mid-Range,47799
HP Pavilion 15-EC2146AX Gaming Laptop,9,109,16,512,0,4,46,8,16,72,1920,1080,137.60000000000002,High-End,73758
Infinix INBook X1 XL11 Laptop,12,8,8,512,0,4,123,4,8,48,1920,1080,124.8,Mid-Range,37999
Infinix INBook X1 XL11 Laptop,12,8,8,512,0,4,123,4,8,48,1920,1080,124.8,Mid-Range,37490
Apple MacBook Pro 14 inch MKGP3HN Laptop,2,83,16,512,0,2,5,8,0,53,3024,1964,130.0,Premium,171594
HP Victus 16-e0162AX Gaming Laptop,9,99,8,512,0,4,31,6,12,65,1920,1080,131.60000000000002,High-End,61490
Dell Inspiron 3511 Laptop,6,11,8,512,0,4,16,4,8,61,1920,1080,130.0,Mid-Range,38800
Dell Inspiron 3511 Laptop,6,11,8,512,0,4,16,4,8,61,1920,1080,130.0,Mid-Range,59306
